推數,噓數,文章分數,文章作者,文章名稱,發表時間
11,0,11,polomax (阿do),[協尋] 台北市內湖區樂群二路265巷路口 行車紀錄,Sun Oct  4 18:42:55 2020
61,17,44,samgreco (55),[新聞] 蘇貞昌：自己國家自己守，自己國家自己,Fri Oct  2 11:36:26 2020
3,1,2,Julian9x9x9 (Lets Get It On～),[問卦] 如果我川跟拜登都中標美國要怎麼辦？,Fri Oct  2 13:10:05 2020
10,0,10,a09651238 (可口美味好滋味),[問卦] 川普的票倉其實在台灣吧？,Fri Oct  2 12:04:43 2020
14,0,14,subcrew (Working Below The Hype),[問卦] 高爾夫球跟賽車誰更無聊,Fri Oct  2 14:50:22 2020
0,0,0,yunshi0320 (funkerick),[問卦] 愛莉莎莎文484廢文,Wed Oct  7 16:45:34 2020
1,0,1,kaky (菩提本無樹明鏡亦非台),[新聞] 教召不夠！陳玉珍提「金門民防自衛隊」,Wed Oct  7 17:50:53 2020
5,0,5,CurryMvp (^______^),[問卦] 川普防疫能力是不是蠻猛的啊？,Fri Oct  2 13:44:28 2020
2,0,2,opfish (coco),[問卦] 吳剛是不是隔壁老王,Fri Oct  2 11:56:23 2020
9,0,9,BIA (必亞),[問卦] 我川不是有天天吃奎寧？,Fri Oct  2 15:01:22 2020
2,1,1,a6234709 (永不言棄的肥宅),[問卦] 哆啦a夢的道具有被報導過幾次??,Wed Oct  7 20:02:54 2020
4,1,3,cwh0105 (Ex咖哩棒),[問卦] 川普現在最想見誰?,Fri Oct  2 15:28:08 2020
4,0,4,Tosca ( ),[問卦] 黑嘉嘉2010 vs 黑嘉嘉2020 大家選哪個?,Fri Oct  2 14:59:36 2020
66,1,65,derekhsu (華麗的天下無雙),[爆卦] [疫情] 全球死亡創紀錄 爆出巨量阿根廷,Fri Oct  2 12:41:56 2020
1,2,-1,TtTt4 (夜間飛行),[問卦] 梅子綠有推薦的嗎,Wed Oct  7 20:04:20 2020
1,0,1,SilentestLam (SilentestLamb),[問卦] 教授484不喜歡待在學校？,Fri Oct  2 15:06:10 2020
11,13,-2,ToHsiang (誤上賊船),[新聞] 蘇貞昌不容許陳同佳自由來台 港議員：投案,Wed Oct  7 19:00:41 2020
5,7,-2,botnet (殭屍網路),[問卦] 有沒有台北火車站的八卦,Wed Oct  7 19:16:52 2020
16,13,3,lovea (lovea),[新聞] 豬農百億基金規劃出爐！ 陳吉仲︰46億升,Wed Oct  7 18:16:40 2020
2,0,2,toomtoom (monteport),[問卦] 教授問我主流文化的特點,Wed Oct  7 20:50:43 2020
8,1,7,soarman (非人),[問卦] 駕照結合ETC，區分駕照路權?,Wed Oct  7 20:04:30 2020
0,3,-3,thumbsptt (山拇指),[問卦] 大家住的地方多久一次會抽水肥,Wed Oct  7 20:40:18 2020
10,4,6,Matz (イラマチオ研究員),[新聞] 聖約翰遭控欠薪 校方：教師不願商議,Wed Oct  7 18:01:22 2020
10,7,3,s5869157 (肥皂泡的世界),[問卦] 年薪140萬  台北市買房可以買哪裡,Wed Oct  7 17:43:19 2020
4,0,4,simbr (take thing as it comes),[問卦] 全面攻佔4 劇本流出?,Fri Oct  2 13:53:28 2020
22,3,19,MrFly (MrFly),[問卦] 這波如果在台灣 候選人會怎麼操作,Fri Oct  2 14:19:38 2020
6,6,0,joe255118 (酷比),[問卦] 不想打仗幹嘛不跟中國講= =?,Wed Oct  7 20:08:16 2020
4,3,1,purue (purue),[問卦] 台灣還有哪些景點有救,Wed Oct  7 17:14:15 2020
2,1,1,n123456n (米修),[問卦] 古墓奇兵2018有無拍續集的卦,Fri Oct  2 11:59:56 2020
8,3,5,yamakazi (大安吳彥祖),[問卦] 買雙螢幕還是寬曲面螢幕？,Wed Oct  7 19:07:28 2020
1,1,0,johanLarson (Rent),[問卦] 這算中國暗殺成功嗎？,Fri Oct  2 13:48:29 2020
92,5,87,f17690815 (我恨陣頭),[問卦] 拜登現在在想什麼,Fri Oct  2 13:18:30 2020
11,1,10,westdoorcard (West),[問卦] 幹！有白目機車騎在禁行機車上,Wed Oct  7 18:41:12 2020
10,9,1,gn116187 (NGT),[問卦] 「八卦板五毛」會不會是空氣稻草人,Wed Oct  7 17:36:41 2020
7,1,6,qsxwdc (Moo),[問卦] 瘋狂十月開始了嗎？,Fri Oct  2 13:42:19 2020
24,17,7,KouChouChing (20分鐘),[新聞] 陳廷寵以中國人為傲 吳斯懷謢航:言論自由,Wed Oct  7 18:36:47 2020
5,7,-2,ATTwo (咖哩給Gay),[問卦] 為啥電動車還不能自動充電？,Wed Oct  7 16:28:30 2020
8,0,8,traman (無名),[問卦] 台女脫口秀只能靠黃色出名嗎,Fri Oct  2 13:09:20 2020
9,2,7,a88241050 (再回頭已是百殘身),[問卦] 認真問，長痔瘡怎麼辦..,Fri Oct  2 12:47:13 2020
20,1,19,qazxc1156892 (QQ),[新聞] 35隻猴子打群架 踩塌樓房壓死屋主和工人,Wed Oct  7 20:31:48 2020
18,6,12,MrFly (MrFly),[問卦] 女友叫我在她公司兩百公尺處等???,Wed Oct  7 18:22:42 2020
28,7,21,Yamamoto5566 (大日本帝國．山本56),[問卦] 魚的台語,Fri Oct  2 12:26:27 2020
18,18,0,kenbo (我愛蘇智傑),[新聞] 陳其邁首備詢就遇陳抗 網嘆:韓國瑜可是勇,Wed Oct  7 20:02:55 2020
5,5,0,ai770116 (東方的神秘力量),[問卦] 川普超沒水準都不戴口罩PTT還挺川普？,Wed Oct  7 21:25:21 2020
6,7,-1,oftisa (oo),[問卦] 國家太空中心是不是騙錢用的？,Fri Oct  2 14:39:19 2020
0,0,0,llgod (Wryyyyyyyy),[問卦] 噁茫啊斯是不是超好玩超心機,Wed Oct  7 21:27:58 2020
6,0,6,Triceratops (Jurassic),[新聞] 川普下令解密通俄門調查所有文檔,Wed Oct  7 19:14:05 2020
14,2,12,botnet (殭屍網路),[問卦] 核彈投中國哪，台灣才不會被波及？,Fri Oct  2 15:03:55 2020
21,3,18,WuDunE (GLAUCUS),[問卦] 正妹香味從哪來的,Wed Oct  7 18:04:29 2020
1,1,0,Kuraki0916 (小泉),[問卦] 如果台灣出現超級英雄可以對抗中共嗎?,Wed Oct  7 16:52:57 2020
1,0,1,z041l31l3 (z041l31l3),[新聞] WTO上修2020世界貿易量，回復至減少9%,Wed Oct  7 16:37:55 2020
2,0,2,Dinenger (低能兒),[問卦] 根本就是以前太多智障用路人吧？,Fri Oct  2 13:46:52 2020
7,1,6,MeowDeLay (喵的勒),[新聞] 營養午餐文宣挨批宣傳美豬 教部：食農教,Wed Oct  7 20:34:21 2020
0,0,0,kaiting00 (),[問卦] 支那的生化戰是不是成功了？,Fri Oct  2 13:26:10 2020
8,3,5,HomeTogether (人在歸途),[新聞] 蓬佩奧：若中共攻台 美軍不會袖手旁觀,Wed Oct  7 20:36:19 2020
13,0,13,david0426 (軒軒寶貝),[問卦] 習近平會怎麼回應關於川普中標這件事,Fri Oct  2 13:43:12 2020
2,0,2,postit (擁有秘密是快樂的事),[問卦] 習近平怎摸都沒事啊,Fri Oct  2 14:29:53 2020
14,4,10,soi1dsnake (索立德史捏克),[新聞] 8歲時遭性侵身心受創 15年後打開心結將狼,Wed Oct  7 20:12:24 2020
7,6,1,cimo764 (蘋果西打),[新聞] 「準備」選國民黨主席 周錫瑋：與韓國瑜,Fri Oct  2 13:47:57 2020
26,12,14,mikemagic88 (Mikemagic88),[問卦] 相機可以退場了吧?,Wed Oct  7 17:34:28 2020
6,1,5,gaexp256016 (gaexp256016),[問卦] 支那維尼,Fri Oct  2 14:07:55 2020
21,7,14,taker627 (你馬英九嗎?),[問卦] 有些地方坐高鐵是不是沒有比較快啊,Wed Oct  7 17:04:14 2020
15,3,12,rs6677 (-----),[問卦] 為何寧願買房也不跟父母住?,Fri Oct  2 12:52:53 2020
3,0,3,Kuraki0916 (小泉),[新聞] 川普確診新冠肺炎 感染科醫：拜登危險了,Fri Oct  2 14:15:51 2020
3,2,1,B0Y0 (假柏濕),[新聞] 婦科名醫麻醉性侵15分鐘3次 妻揭惡行：他,Wed Oct  7 20:59:50 2020
16,3,13,yoyodiy (廢文心得文大師),[問卦] 土地被註銷編訂  我是不是要發大財惹?,Wed Oct  7 19:27:40 2020
8,5,3,star07 (),[問卦] 如果臺灣有一個航母戰鬥群,Fri Oct  2 15:01:24 2020
8,3,5,genheit (genheit),[問卦] 當時蜀國怎麼不南下取緬甸、泰國？,Wed Oct  7 21:07:10 2020
1,2,-1,s910408 (真姬俺の嫁),[問卦] 跟網友見面是直銷的八卦,Fri Oct  2 13:44:52 2020
5,3,2,k44754 (9527),[新聞] 藍委提修社維法 毒駕、酒駕致死傷拘留3,Wed Oct  7 20:56:52 2020
0,0,0,americ (americ),[問卦] 川普打悲情牌會有人買單嗎？,Fri Oct  2 14:47:14 2020
2,2,0,Kitakami (公主連結特約工讀生),[問卦] 肥宅會假裝自己有去烤肉嗎？,Fri Oct  2 12:12:12 2020
22,5,17,LastDinosaur (LastDino),[問卦] 梁社漢好吃在哪,Wed Oct  7 19:31:56 2020
5,0,5,jedfjeff8673 (哈囉),[問卦] 現在是進場美股的時機嗎,Fri Oct  2 14:01:24 2020
0,0,0,james7923 (詹姆士Q),[問卦] 我~與 各位共清歡  我~笑 眾人看不穿,Fri Oct  2 14:17:17 2020
0,1,-1,zxcv820421 (水原千鶴我老婆),[問卦] 每天都要聽一次守望傳說廣告？,Wed Oct  7 16:36:41 2020
6,2,4,Caress (愛撫),[問卦] 如果川普輸了台灣會怎麼說中國的好?,Wed Oct  7 16:29:36 2020
4,0,4,seazilicy (萬事要隨緣),[新聞] 五星旗亂象》防中共藉言論自由統戰 綠委,Fri Oct  2 12:23:01 2020
3,1,2,johnny9667 (大八),[問卦] 台灣人工時高於韓國但年均卻低於韓,Fri Oct  2 13:22:03 2020
3,1,2,belucky (),[問卦] 為何有些蚊子寧可被打死也要吸血,Wed Oct  7 16:42:07 2020
2,3,-1,ThomasBuBu (噗噗),[問卦] 布丁浮在奶茶上面的八卦?,Wed Oct  7 16:53:57 2020
11,5,6,ezJapan (Japan),[新聞] 蝦腳抱一排「橘色顆粒」 內行驚曝：吃完秒睡醫院,Wed Oct  7 20:45:05 2020
3,0,3,Brown1010 (0W0),[問卦] 美股是不是要爆漲了？,Fri Oct  2 14:48:23 2020
6,7,-1,zzyyxx77 (討噓大師77),[問卦] 為什要吃保健食品？,Wed Oct  7 17:33:24 2020
3,1,2,a12141623 (舔舔老二再泡泡茶),[問卦] 歐美人不認真封城是不是智障？,Fri Oct  2 11:44:47 2020
6,2,4,a9606093 (呢喃貓),[新聞] 美眾議員提案：指定中共為跨國犯罪組織,Fri Oct  2 12:01:55 2020
32,0,32,q0975190339 (chang751),[問卦] 在田裡撿到刺蝟，該怎麼處置,Fri Oct  2 13:27:01 2020
11,0,11,sodistrues (true),[問卦]乃木坂有可能像AKB一樣 讓10世代接班嗎？,Wed Oct  7 20:20:03 2020
3,3,0,roktzzt (不務正業自走車),[問卦] 彭斯要接手總統大位嗎?,Fri Oct  2 13:33:55 2020
6,13,-7,rasiel0919 (小弟弟),[問卦] 你各位啊，老實說被統一又如何,Fri Oct  2 13:24:37 2020
4,0,4,Gary5566 (等我長大要娶天音かなた),[問卦] 星街彗星的老公都給我進來,Fri Oct  2 12:17:55 2020
0,0,0,AV5566 (射即是空),[問卦] 有沒有高雄冠軍哥的八卦？,Fri Oct  2 15:08:55 2020
3,0,3,yoyodiy (廢文心得文大師),[問卦] 有沒有工作出過最大的包是什麼的八卦,Wed Oct  7 16:25:00 2020
3,0,3,justin777 (JUSTIN),[新聞] 民團盼比照短期商務客模式 讓跨國伴侶有,Wed Oct  7 16:58:37 2020
26,8,18,yank0612 (魯宅),[問卦] 川普中鏢 支那現在很爽嗎,Fri Oct  2 13:48:02 2020
1,2,-1,execute (很好),[問卦] 反對教召的人 到底都在怕什麼???????????,Wed Oct  7 16:18:26 2020
1,0,1,fantasy14 (我可以看見嗎),[問卦] 川普確診是不是斬首行動成功了?,Fri Oct  2 13:22:41 2020
5,2,3,somanyee (Soman),[問卦] 各位每天用最久的app是哪個？,Fri Oct  2 12:16:42 2020
5,3,2,zoriyah (\^O^/BA),[問卦] 不買星巴克可以去星巴克裡面坐著嗎？,Wed Oct  7 18:41:21 2020
2,0,2,Caress (愛撫),[新聞] 博士畢業打零工7年 月入11K吃剩食度日,Wed Oct  7 17:35:13 2020
24,10,14,chiafann (NAZZZ),[問卦] 你覺得罰歐陽娜娜50萬合理嗎？,Fri Oct  2 11:41:22 2020
3,2,1,Giddcns (狠、插、勁！！！),[問卦] 美國人484很懂談判？,Wed Oct  7 20:15:50 2020
2,2,0,chocopoodle (巧克普豆),[問卦] 有沒有台北人都很有愛心的八卦,Wed Oct  7 19:02:48 2020
1,4,-3,ILoveMegumin (白上吹雪的刻印蟲),[問卦] 日本的鐵路比台灣進步很多,Wed Oct  7 21:21:20 2020
3,0,3,vera0204 (vera),[問卦] 今天上班怎麼打發時間好呢?,Fri Oct  2 14:36:20 2020
46,3,43,qazsedcft (自由羊),[新聞] 高加索血戰破百死：亞美尼亞禁止役齡男,Fri Oct  2 12:15:30 2020
4,1,3,WARgame723 (ss),[問卦] 為何美國沒有過女總統?,Fri Oct  2 14:22:33 2020
11,3,8,ME13 (小鳥),[問卦] 有喜歡吃大蒜泥的嬰幼兒嗎,Wed Oct  7 18:44:49 2020
1,4,-3,eierom (非),[問卦] 川普中標是中共幹的吧？,Fri Oct  2 13:27:14 2020
13,0,13,Scathach (紫色BBA),[問卦] 川普和拜登都死於肺炎會怎樣,Fri Oct  2 13:38:12 2020
16,2,14,NccuShuai (政帥),"[問卦] 寫個""純"" 是什麼意思",Wed Oct  7 19:20:15 2020
0,0,0,Madthief (瘋賊),[問卦] 女大生被貨車輾死  自己問題也很大吧,Wed Oct  7 20:33:51 2020
17,55,-38,googolplex (googolplex),[爆卦] 中國新的實驗性疫苗證實安全有效,Wed Oct  7 19:16:47 2020
5,2,3,HappyDiD (開心的動一動),[問卦] 保健食品怎麼挑啊？,Wed Oct  7 17:22:53 2020
10,3,7,words2012 (づ′・ω・),[問卦] 為什麼持修的最佳新人獎點閱率這麼高？,Wed Oct  7 17:08:37 2020
7,1,6,ann141414 (海底撈火鍋),[問卦] 會去打工換宿的人腦中都在想甚麼阿,Wed Oct  7 16:38:03 2020
4,4,0,iamhyaline (也太好了吧),[問卦] 血溶性貧血到底要禁鐵還是補充鐵,Fri Oct  2 14:46:53 2020
1,1,0,algebraic (algebraic),[問卦] 可以帶十八禁抱枕去宿舍嗎?,Wed Oct  7 21:03:14 2020
12,1,11,chia0220 (憨魚一號),[問卦] 南投有人聽過阿霞蛋捲ㄇ,Fri Oct  2 15:11:11 2020
8,10,-2,rocephin (Roce),[問卦] 一堆台大法律系的 卻處理不了歐陽娜娜？,Fri Oct  2 12:30:43 2020
2,1,1,thewtf (濱邊美波我老婆),[問卦] 你不是怪物 別害怕 誰來欺負,Wed Oct  7 20:47:04 2020
0,0,0,XX9 (又又丸),[新聞] 塞怕了／用路人變聰明 主動做分流,Fri Oct  2 11:35:04 2020
2,11,-9,daria1217 (yuki),[問卦] 下午茶這樣100塊？,Wed Oct  7 16:26:51 2020
12,1,11,XXXXHAY (過氣ID),[問卦] 真的有人幹過羊嗎,Wed Oct  7 19:42:42 2020
6,2,4,imsphzzz (大法師),[新聞] 超愛吃肉乾！28歲女罹大腸癌　醫曝研究,Fri Oct  2 12:56:44 2020
4,1,3,gs056119 (Eggtart),[問卦] 醬油為什麼要用碟子啊,Wed Oct  7 17:53:35 2020
5,1,4,IOP14759 (iop14759),[問卦] 為啥總有人以為交通亂很重要？,Wed Oct  7 18:11:21 2020
6,8,-2,LAPDSWAT456 (胖達稱霸地球),[問卦] 戰爭時期殘忍殺害統畜會犯法嗎？,Fri Oct  2 12:06:39 2020
11,3,8,alaza (無恥美國),[問卦] 川普這招是奧步嗎?,Fri Oct  2 13:31:06 2020
5,0,5,a25270672 (毫無反應 只是路人),[問卦] 女朋友邀我去她家吃飯該注意什麼 ?,Wed Oct  7 20:44:53 2020
15,5,10,masterbation (貝森大師),[問卦] 川普的票倉其實在台灣吧？,Fri Oct  2 11:50:58 2020
1,1,0,deeeplove (想不到ID),[問卦] 朋友這盒太陽餅是什麼意思,Fri Oct  2 15:23:20 2020
0,5,-5,Metallicat (金屬製貓),[問卦] 有美國小鬼(黃鴻升)-范海倫的八卦嗎,Wed Oct  7 19:00:33 2020
10,9,1,cheerbu (buchi),[新聞] 遭柯文哲批「說謊」 王世堅反嗆：liar憑,Wed Oct  7 21:11:56 2020
7,0,7,chen740530 (chen740530),[問卦] 川普被隔離 會視訊跟拜登辯論嗎？,Fri Oct  2 13:38:15 2020
11,2,9,chen740530 (chen740530),[問卦] 太守丁原為何敢偷襲董卓駐守洛陽的西涼兵,Wed Oct  7 17:00:14 2020
7,0,7,x851221 (SuperDog),[問卦] 為什麼海洋生物吃魚不怕魚刺,Fri Oct  2 13:38:32 2020
4,7,-3,dake (V FOR VENDETTA),[爆卦] 2020年諾貝爾化學獎,Wed Oct  7 20:06:41 2020
6,1,5,ann141414 (海底撈火鍋),[問卦] 拜登是不是也要下去了阿,Fri Oct  2 13:31:36 2020
2,0,2,z0953781935 (妹妹罵我是肥豬>///<),[問卦] 為啥墨西哥在美國旁邊還那麼窮啊？,Fri Oct  2 13:08:10 2020
18,1,17,Conan5566 (連續殺人),[問卦] 強生會對川普說什麼？,Fri Oct  2 13:33:02 2020
11,1,10,heavenlyken (銀狐),[問卦] 為什麼日本超商很多外國店員但台灣沒有？,Wed Oct  7 21:03:54 2020
20,6,14,iou861007 (中壢金城武),[問卦] 部隊的食物很難吃怎麼辦？,Wed Oct  7 19:49:54 2020
17,2,15,irita123 (笑容很重要~),[新聞] 北市東湖國小後方變電箱爆炸 民宅停電所,Wed Oct  7 19:47:42 2020
1,0,1,a210510 (嗚嗚~),[新聞] 機車族不是人！ 中央擬取消人行道機車格,Fri Oct  2 15:27:45 2020
0,0,0,melissalewis (龍使弗利茲),[問卦] 美國現在會跪還是脆了？,Fri Oct  2 13:27:25 2020
8,4,4,lauwei (lauwei),[問卦] 台南的50嵐也太少了吧？？,Fri Oct  2 12:53:59 2020
36,1,35,b10485762000 (台北寂寞部屋),[新聞] 魔音洗腦！美獄警逼受刑人聽2小時「Baby,Wed Oct  7 21:12:38 2020
0,0,0,B0858B (),[新聞] 吉普車撞機車後逃逸 歐吉桑騎機車勇追5公,Fri Oct  2 13:35:52 2020
18,1,17,vikk33 (vikk33),[爆卦] 川普中標韓國反應,Fri Oct  2 14:31:24 2020
21,5,16,footart (reminiscence),[問卦] 人類到底有沒有登陸月球過,Fri Oct  2 14:26:55 2020
52,22,30,uei1201 (新八),[問卦] 被UBER EAT嗆不要送上樓怎麼辦,Fri Oct  2 12:05:42 2020
